Pitcher Wins vs. Runs Scored ,,,,
Row Labels,Sum of R,,Wins,Sum of R
63,626,,63,626
64,640,,64,640
67,573,,67,573
68,2086,,68,2086
71,613,,71,613
74,1339,,74,1339
76,1278,,76,1278
78,748,,78,748
79,720,,79,720
80,644,,80,644
81,1382,,81,1382
83,1399,,83,1399
84,696,,84,696
85,661,,85,661
86,729,,86,729
87,764,,87,764
88,751,,88,751
90,683,,90,683
92,667,,92,667
93,891,,93,891
95,724,,95,724
97,689,,97,689
98,697,,98,697
100,647,,100,647
Grand Total,20647,,,
,,,,
,,,,
Hits vs. Strikeouts,,,,
Row Labels,Sum of H,,,
973,1497,,973,1497
1107,1361,,1107,1361
1119,1405,,1119,1405
1148,1495,,1148,1495
1150,2751,,1150,2751
1151,1480,,1151,1480
1157,1395,,1157,1395
1159,1486,,1159,1486
1227,1397,,1227,1397
1231,1381,,1231,1381
1233,1419,,1233,1419
1255,1382,,1255,1382
1258,1346,,1258,1346
1259,1515,,1259,1515
1264,1349,,1264,1349
1267,1386,,1267,1386
1274,1374,,1274,1374
1283,1479,,1283,1479
1290,1351,,1290,1351
1299,1378,,1299,1378
1310,1383,,1310,1383
1312,1494,,1312,1494
1322,1462,,1322,1462
1327,1324,,1327,1324
1331,1370,,1331,1370
1336,1379,,1336,1379
1344,1363,,1344,1363
1392,1363,,1392,1363
1518,1341,,1518,1341
Grand Total,42106,,,
,,,,
,,,,
Earned Run Average vs. Complete Games,,,,
Row Labels,Sum of CG,,,
2.94,1,,2.94,1
3.21,0,,3.21,0
3.36,6,,3.36,6
3.43,1,,3.43,1
3.44,6,,3.44,6
3.57,5,,3.57,5
3.62,4,,3.62,4
3.67,11,,3.67,11
3.72,7,,3.72,7
3.73,2,,3.73,2
3.74,1,,3.74,1
3.8,7,,3.8,7
3.94,2,,3.94,2
3.98,7,,3.98,7
4.02,0,,4.02,0
4.03,3,,4.03,3
4.04,1,,4.04,1
4.05,0,,4.05,0
4.07,2,,4.07,2
4.09,1,,4.09,1
4.14,5,,4.14,5
4.16,6,,4.16,6
4.24,5,,4.24,5
4.28,1,,4.28,1
4.31,3,,4.31,3
4.33,2,,4.33,2
4.41,3,,4.41,3
4.64,7,,4.64,7
4.69,1,,4.69,1
5.04,4,,5.04,4
Grand Total,104,,,
,,,,
,,,,
Home Runs vs. Shutouts,,,,
Row Labels,Sum of SHO,,,
100,10,,100,10
120,12,,120,12
130,7,,130,7
136,27,,136,27
137,15,,137,15
139,8,,139,8
140,13,,140,13
141,10,,141,10
145,7,,145,7
146,15,,146,15
148,6,,148,6
151,12,,151,12
154,12,,154,12
156,12,,156,12
161,10,,161,10
167,20,,167,20
171,21,,171,21
172,9,,172,9
176,12,,176,12
177,27,,177,27
186,4,,186,4
187,21,,187,21
198,12,,198,12
212,4,,212,4
217,10,,217,10
230,13,,230,13
232,10,,232,10
Grand Total,339,,,
,,,,
,,,,
Bases on Balls vs. Saves,,,,
Row Labels,Sum of SV,,,
375,35,,375,35
383,56,,383,56
387,35,,387,35
388,36,,388,36
404,37,,404,37
412,40,,412,40
418,43,,418,43
426,41,,426,41
435,46,,435,46
436,60,,436,60
439,45,,439,45
455,35,,455,35
457,41,,457,41
461,54,,461,54
471,44,,471,44
475,28,,475,28
478,85,,478,85
486,39,,486,39
488,50,,488,50
490,44,,490,44
496,35,,496,35
503,45,,503,45
506,62,,506,62
533,38,,533,38
539,41,,539,41
554,48,,554,48
563,47,,563,47
567,48,,567,48
570,34,,570,34
Grand Total,1292,,,
